"filename", "language", "JSON", "TypeScript JSX", "Markdown", "CSS", "TypeScript", "JSON with Comments", "MS SQL", "JavaScript", "Shell Script", "YAML", "XML", "comment", "blank", "total"
"d:\Persist Ventures\GoViral\app\about\page.tsx", "TypeScript JSX", 0, 91, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 99
"d:\Persist Ventures\GoViral\app\api\cron\update-contests.ts", "TypeScript", 0, 0, 0, 0, 82, 0, 0, 0, 0, 0, 0, 20, 19, 121
"d:\Persist Ventures\GoViral\app\api\cron\update-instagram-insights\route.ts", "TypeScript", 0, 0, 0, 0, 274, 0, 0, 0, 0, 0, 0, 31, 52, 357
"d:\Persist Ventures\GoViral\app\api\cron\update-youtube-metrics\route.ts", "TypeScript", 0, 0, 0, 0, 183, 0, 0, 0, 0, 0, 0, 30, 29, 242
"d:\Persist Ventures\GoViral\app\api\instagram\callback\route.ts", "TypeScript", 0, 0, 0, 0, 111, 0, 0, 0, 0, 0, 0, 11, 30, 152
"d:\Persist Ventures\GoViral\app\api\instagram\refresh-token\route.ts", "TypeScript", 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 2, 16, 72
"d:\Persist Ventures\GoViral\app\api\instagram\verify-media\route.ts", "TypeScript", 0, 0, 0, 0, 125, 0, 0, 0, 0, 0, 0, 24, 24, 173
"d:\Persist Ventures\GoViral\app\api\leaderboard\[contestId]\route.ts", "TypeScript", 0, 0, 0, 0, 75, 0, 0, 0, 0, 0, 0, 13, 18, 106
"d:\Persist Ventures\GoViral\app\api\youtube\auth\route.ts", "TypeScript", 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 9, 8, 52
"d:\Persist Ventures\GoViral\app\api\youtube\callback\route.ts", "TypeScript", 0, 0, 0, 0, 109, 0, 0, 0, 0, 0, 0, 2, 25, 136
"d:\Persist Ventures\GoViral\app\api\youtube\metrics\route.ts", "TypeScript", 0, 0, 0, 0, 107, 0, 0, 0, 0, 0, 0, 13, 20, 140
"d:\Persist Ventures\GoViral\app\api\youtube\refresh\route.ts", "TypeScript", 0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 5, 14, 80
"d:\Persist Ventures\GoViral\app\api\youtube\verify\route.ts", "TypeScript", 0, 0, 0, 0, 107, 0, 0, 0, 0, 0, 0, 11, 22, 140
"d:\Persist Ventures\GoViral\app\api\youtube\videos\route.ts", "TypeScript", 0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 12, 71
"d:\Persist Ventures\GoViral\app\auth\forgot-password\page.tsx", "TypeScript JSX", 0, 169, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 17, 188
"d:\Persist Ventures\GoViral\app\auth\reset-password\page.tsx", "TypeScript JSX", 0, 239, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 15, 259
"d:\Persist Ventures\GoViral\app\auth\signin\page.tsx", "TypeScript JSX", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 18
"d:\Persist Ventures\GoViral\app\auth\signup\page.tsx", "TypeScript JSX", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"d:\Persist Ventures\GoViral\app\auth\verify-otp\page.tsx", "TypeScript JSX", 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 2, 46
"d:\Persist Ventures\GoViral\app\auth\verify-otp\verify-otp-form.tsx", "TypeScript JSX", 0, 325, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 32, 365
"d:\Persist Ventures\GoViral\app\brands\page.tsx", "TypeScript JSX", 0, 163, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 10, 180
"d:\Persist Ventures\GoViral\app\choose-username\page.tsx", "TypeScript JSX", 0, 379, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 36, 426
"d:\Persist Ventures\GoViral\app\contact\page.tsx", "TypeScript JSX", 0, 144, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 19, 171
"d:\Persist Ventures\GoViral\app\creators\page.tsx", "TypeScript JSX", 0, 233, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 12, 254
"d:\Persist Ventures\GoViral\app\dashboard\ClientLayout.tsx", "TypeScript JSX", 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 81
"d:\Persist Ventures\GoViral\app\dashboard\analytics\page.tsx", "TypeScript JSX", 0, 150, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 21, 177
"d:\Persist Ventures\GoViral\app\dashboard\billing\BillingClientPage.tsx", "TypeScript JSX", 0, 1093, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 64, 1177
"d:\Persist Ventures\GoViral\app\dashboard\billing\loading.tsx", "TypeScript JSX", 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 6, 59
"d:\Persist Ventures\GoViral\app\dashboard\billing\page.tsx", "TypeScript JSX", 0, 110, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 20, 137
"d:\Persist Ventures\GoViral\app\dashboard\coin-transactions\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Persist Ventures\GoViral\app\dashboard\contests\ContestListClient.tsx", "TypeScript JSX", 0, 175, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 184
"d:\Persist Ventures\GoViral\app\dashboard\contests\[id]\contest-detail-client.tsx", "TypeScript JSX", 0, 540, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 28, 574
"d:\Persist Ventures\GoViral\app\dashboard\contests\[id]\edit\client.tsx", "TypeScript JSX", 0, 1456, 0, 0, 0, 0, 0, 0, 0, 0, 0, 80, 126, 1662
"d:\Persist Ventures\GoViral\app\dashboard\contests\[id]\edit\page.tsx", "TypeScript JSX", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"d:\Persist Ventures\GoViral\app\dashboard\contests\[id]\page.tsx", "TypeScript JSX", 0, 117, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18, 138
"d:\Persist Ventures\GoViral\app\dashboard\contests\[id]\share\client.tsx", "TypeScript JSX", 0, 318, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 26, 353
"d:\Persist Ventures\GoViral\app\dashboard\contests\[id]\share\page.tsx", "TypeScript JSX", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"d:\Persist Ventures\GoViral\app\dashboard\contests\create\client.tsx", "TypeScript JSX", 0, 2477, 0, 0, 0, 0, 0, 0, 0, 0, 0, 198, 227, 2902
"d:\Persist Ventures\GoViral\app\dashboard\contests\create\page.tsx", "TypeScript JSX", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"d:\Persist Ventures\GoViral\app\dashboard\contests\loading.tsx", "TypeScript JSX", 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 31
"d:\Persist Ventures\GoViral\app\dashboard\contests\page.tsx", "TypeScript JSX", 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 66
"d:\Persist Ventures\GoViral\app\dashboard\earnings\EarningsClientPage.tsx", "TypeScript JSX", 0, 855, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 62, 943
"d:\Persist Ventures\GoViral\app\dashboard\earnings\loading.tsx", "TypeScript JSX", 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 53
"d:\Persist Ventures\GoViral\app\dashboard\earnings\page.tsx", "TypeScript JSX", 0, 108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 22, 148
"d:\Persist Ventures\GoViral\app\dashboard\layout.tsx", "TypeScript JSX", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"d:\Persist Ventures\GoViral\app\dashboard\opportunities\[id]\client.tsx", "TypeScript JSX", 0, 798, 0, 0, 0, 0, 0, 0, 0, 0, 0, 49, 44, 891
"d:\Persist Ventures\GoViral\app\dashboard\opportunities\[id]\page.tsx", "TypeScript JSX", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"d:\Persist Ventures\GoViral\app\dashboard\opportunities\[id]\submit\client.tsx", "TypeScript JSX", 0, 1182, 0, 0, 0, 0, 0, 0, 0, 0, 0, 71, 112, 1365
"d:\Persist Ventures\GoViral\app\dashboard\opportunities\[id]\submit\page.tsx", "TypeScript JSX", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"d:\Persist Ventures\GoViral\app\dashboard\opportunities\client.tsx", "TypeScript JSX", 0, 375, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 31, 428
"d:\Persist Ventures\GoViral\app\dashboard\opportunities\loading.tsx", "TypeScript JSX", 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8, 53
"d:\Persist Ventures\GoViral\app\dashboard\opportunities\page.tsx", "TypeScript JSX", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"d:\Persist Ventures\GoViral\app\dashboard\page.tsx", "TypeScript JSX", 0, 340, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 368
"d:\Persist Ventures\GoViral\app\dashboard\profile\client.tsx", "TypeScript JSX", 0, 769, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 60, 859
"d:\Persist Ventures\GoViral\app\dashboard\profile\page.tsx", "TypeScript JSX", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"d:\Persist Ventures\GoViral\app\dashboard\settings\client.tsx", "TypeScript JSX", 0, 569, 0, 0, 0, 0, 0, 0, 0, 0, 0, 95, 67, 731
"d:\Persist Ventures\GoViral\app\dashboard\settings\page.tsx", "TypeScript JSX", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"d:\Persist Ventures\GoViral\app\dashboard\submissions\SubmissionsClient.tsx", "TypeScript JSX", 0, 336, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 30, 375
"d:\Persist Ventures\GoViral\app\dashboard\submissions\loading.tsx", "TypeScript JSX", 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 61
"d:\Persist Ventures\GoViral\app\dashboard\submissions\page.tsx", "TypeScript JSX", 0, 86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11, 99
"d:\Persist Ventures\GoViral\app\forgot-password\page.tsx", "TypeScript JSX", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"d:\Persist Ventures\GoViral\app\globals.css", "CSS", 0, 0, 0, 90, 0, 0, 0, 0, 0, 0, 0, 0, 5, 95
"d:\Persist Ventures\GoViral\app\instagram-connection-faq\page.tsx", "TypeScript JSX", 0, 105, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 112
"d:\Persist Ventures\GoViral\app\layout.tsx", "TypeScript JSX", 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 65
"d:\Persist Ventures\GoViral\app\login\page.tsx", "TypeScript JSX", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7
"d:\Persist Ventures\GoViral\app\page.tsx", "TypeScript JSX", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 14
"d:\Persist Ventures\GoViral\app\pricing\page.tsx", "TypeScript JSX", 0, 458, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 31, 520
"d:\Persist Ventures\GoViral\app\privacy-policy\page.tsx", "TypeScript JSX", 0, 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 71
"d:\Persist Ventures\GoViral\app\reset-password\page.tsx", "TypeScript JSX", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"d:\Persist Ventures\GoViral\app\signup\page.tsx", "TypeScript JSX", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7
"d:\Persist Ventures\GoViral\app\terms-of-service\page.tsx", "TypeScript JSX", 0, 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 85
"d:\Persist Ventures\GoViral\auth-architecture.md", "Markdown", 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 79
"d:\Persist Ventures\GoViral\components.json", "JSON", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21
"d:\Persist Ventures\GoViral\components\auth-nav.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 5, 38
"d:\Persist Ventures\GoViral\components\auth\SignInPage.tsx", "TypeScript JSX", 0, 245, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 22, 287
"d:\Persist Ventures\GoViral\components\auth\SignUpPage.tsx", "TypeScript JSX", 0, 393, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 418
"d:\Persist Ventures\GoViral\components\brand-logo.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 75, 6, 81
"d:\Persist Ventures\GoViral\components\dashboard-nav.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 80, 5, 85
"d:\Persist Ventures\GoViral\components\dashboard-sidebar.tsx", "TypeScript JSX", 0, 121, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 130
"d:\Persist Ventures\GoViral\components\dashboard\wallet-summary.tsx", "TypeScript JSX", 0, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 113
"d:\Persist Ventures\GoViral\components\delete-contest-button.tsx", "TypeScript JSX", 0, 211, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 24, 255
"d:\Persist Ventures\GoViral\components\footer.tsx", "TypeScript JSX", 0, 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 92
"d:\Persist Ventures\GoViral\components\guards\RouteGuard.tsx", "TypeScript JSX", 0, 161, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 26, 191
"d:\Persist Ventures\GoViral\components\hero-section.tsx", "TypeScript JSX", 0, 232, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 13, 263
"d:\Persist Ventures\GoViral\components\loading-placeholder.tsx", "TypeScript JSX", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 21
"d:\Persist Ventures\GoViral\components\loading\LoadingSpinner.tsx", "TypeScript JSX", 0, 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 91
"d:\Persist Ventures\GoViral\components\main-nav.tsx", "TypeScript JSX", 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 5, 43
"d:\Persist Ventures\GoViral\components\mobile-nav.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 83, 8, 91
"d:\Persist Ventures\GoViral\components\mode-toggle.tsx", "TypeScript JSX", 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 40
"d:\Persist Ventures\GoViral\components\nav.tsx", "TypeScript JSX", 0, 218, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 17, 247
"d:\Persist Ventures\GoViral\components\navigation\NavigationLink.tsx", "TypeScript JSX", 0, 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 12, 96
"d:\Persist Ventures\GoViral\components\novel-editor.tsx", "TypeScript JSX", 0, 235, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 12, 258
"d:\Persist Ventures\GoViral\components\rich-text-editor.tsx", "TypeScript JSX", 0, 174, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 11, 190
"d:\Persist Ventures\GoViral\components\site-header.tsx", "TypeScript JSX", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 6, 34
"d:\Persist Ventures\GoViral\components\theme-toggle.tsx", "TypeScript JSX", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 29
"d:\Persist Ventures\GoViral\components\ui\accordion.tsx", "TypeScript JSX", 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 59
"d:\Persist Ventures\GoViral\components\ui\alert-dialog.tsx", "TypeScript JSX", 0, 127, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 142
"d:\Persist Ventures\GoViral\components\ui\alert.tsx", "TypeScript JSX", 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 60
"d:\Persist Ventures\GoViral\components\ui\aspect-ratio.tsx", "TypeScript JSX", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 8
"d:\Persist Ventures\GoViral\components\ui\avatar.tsx", "TypeScript JSX", 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 51
